"Date","ADBE.Adjusted","residuals_garch","Volatility","SquaredVolatility"
2017-11-21,0.00987755367401721,0.583922304187487,0.0152422753721297,0.000978389537409324
2017-11-22,-0.00681108772077366,-0.407988021529795,0.014972968468315,0.00093013265428466
2017-11-24,0.00849315217894819,0.507609366627884,0.0145834664904701,0.000884512951435419
2017-11-27,0.00292315087333694,0.219855655721582,0.014303867059939,0.000841330041426451
2017-11-28,0.00215979513263331,0.152982027729311,0.0138858998029793,0.000800802110546912
2017-11-29,-0.047213670047082,-3.54440481409045,0.0134930643592986,0.000762662716865484
2017-11-30,0.0257884073498058,1.09366389812579,0.0204190272453171,0.000855271423406674
2017-12-01,-0.0108037113799915,-0.469156175769375,0.0207018472741366,0.00081307023336271
2017-12-04,-0.0637070283457444,-3.31090093721462,0.0198837182366149,0.000776002611239377
2017-12-05,-0.00535752913550258,-0.352031271287448,0.0286384781619282,0.00111525376667612
2017-12-06,0.0350708024884723,1.23544054543237,0.0271015196497854,0.0010782424300813
2017-12-07,0.00626202788863406,0.246435618816412,0.0277400969975806,0.00103499348704987
2017-12-08,-0.00597390059926806,-0.228615596060984,0.0261697728741888,0.000989012728873121
2017-12-11,0.00425429079037531,0.117045298395419,0.0247091513036134,0.000943732118507158
2017-12-12,-0.0102062544841708,-0.44446427597331,0.0233109056989134,0.00089869288642954
2017-12-13,0.0245597746852875,1.02561498636851,0.0222704301779027,0.000856684075141703
2017-12-14,-0.0104028554982589,-0.409028257592978,0.022345379098828,0.000819131332472009
2017-12-15,0.0142409404875377,0.586671019857121,0.0213386279855626,0.000779936143525121
2017-12-18,-0.00434715724071388,-0.171275910064591,0.0206195531451636,0.000744667786967762
2017-12-19,-0.0100652195371671,-0.574106394629797,0.0195874516660865,0.000709391063423258
2017-12-20,-0.00412348799253781,-0.284767199915131,0.018973807925441,0.000680085831910517
2017-12-21,0.00177745845806943,0.0607442504419387,0.0181426710907991,0.000648390951860085
2017-12-22,0.00251746582481172,0.0710826973664265,0.0173063453869923,0.000622173543674337
2017-12-26,-0.00320511695326964,-0.185410250577245,0.0165507067808592,0.000593500737924497
2017-12-27,0.00526015026996873,0.229959687645197,0.0158954817901858,0.000568372361443263
2017-12-28,0.00108291275820793,0.0810966583915319,0.0153205582852336,0.000543204871841588
2017-12-29,-0.00176742570620458,-0.177885336164984,0.0147630939621299,0.000520471093436426
2018-01-02,0.0139402236947372,0.913767102316929,0.0142839539984949,0.000498571574065657
2018-01-03,0.0186212462533337,1.34279008563532,0.0144737993048134,0.000475283651582244
2018-01-04,0.0119696590092744,0.779545893446711,0.0153749494938328,0.000453729462029766
2018-01-05,0.0115043331501106,0.833329545025934,0.0153163929742869,0.000433940066622439
2018-01-08,-0.00161997475981845,-0.106874715002075,0.0153329377674055,0.000415196855707102
2018-01-09,0.00893105256203874,0.596591739788484,0.0147783265746151,0.000400359414719005
2018-01-10,0.0021936482662408,0.187188803175277,0.0145601189571398,0.000384112127731204
2018-01-11,0.00962695286755988,0.629984218070022,0.0141048093728197,0.000370646095034026
2018-01-12,0.0319323162630001,2.3684530269069,0.0139756912698266,0.000355523575198338
